DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
19670103,0.0187,0.0778,0.4891,0.1399,-0.7193,-0.8845
19670104,0.0187,0.1667,-0.3507,-0.0575,-0.2073,-0.0410
19670105,0.0187,1.2990,0.4395,-0.5716,0.0802,-0.3846
19670106,0.0187,0.7230,0.6716,0.8990,0.3641,0.2269
19670109,0.0187,0.8439,0.6340,0.0353,0.5007,0.2924
19670110,0.0187,-0.0013,0.3068,0.3379,-0.0325,0.1486
19670111,0.0187,0.8376,0.1036,-0.0913,-0.0072,0.2526
19670112,0.0187,0.5415,0.4227,-0.1015,0.0535,-0.1197
19670113,0.0187,0.6773,-0.0907,-0.5529,0.2158,0.2154
19670116,0.0187,-0.1841,0.0825,-0.5365,-0.0830,-0.4803
19670117,0.0187,1.1292,0.0606,-0.4699,0.2721,0.0446
19670118,0.0187,0.5212,0.0256,0.0370,-0.3158,-0.2243
19670119,0.0187,0.0407,0.3764,-0.4520,-0.2741,-0.4777
19670120,0.0187,0.3698,0.6803,-0.1464,0.7823,-0.0023
19670123,0.0187,0.3369,0.6505,-0.4461,0.5674,0.0541
19670124,0.0187,0.2003,0.0177,-0.1989,0.2352,0.1657
19670125,0.0187,-0.6853,0.5339,-0.3958,-0.1219,-0.2924
19670126,0.0187,0.0261,0.4046,-0.2774,0.5190,0.3232
19670127,0.0187,0.4771,0.1129,-0.2044,0.0728,-0.4625
19670130,0.0187,0.5615,0.2995,0.3620,0.0936,-0.1926
19670131,0.0187,-0.0798,0.2816,0.0930,-0.2875,-0.3468
19670201,0.0197,-0.1556,-0.0761,-0.5364,-0.2319,-0.1381
19670202,0.0197,0.3344,0.1387,0.2061,0.3608,-0.0509
19670203,0.0197,0.7047,0.2646,0.4511,0.3386,0.6409
19670206,0.0197,-0.1534,-0.0937,-0.0391,-0.2809,-0.2195
19670207,0.0197,-0.1840,0.2634,0.1588,0.2174,0.2085
19670208,0.0197,0.8757,0.0275,-0.2648,0.0227,0.0702
19670209,0.0197,-0.3935,-0.2681,0.1386,0.5027,0.8685
19670210,0.0197,0.2533,0.1002,-0.1521,0.2356,0.0756
19670213,0.0197,0.1353,0.5628,0.0868,-0.1876,-0.2121
19670214,0.0197,0.7307,0.1511,-0.2635,0.3220,0.2497
19670215,0.0197,0.0523,-0.3365,-0.0223,0.1776,0.1016
19670216,0.0197,-0.4270,0.2593,0.2461,-0.6566,-0.1446
19670217,0.0197,0.0187,-0.1216,0.0414,0.2229,0.0233
19670220,0.0197,-0.5002,0.1688,0.0780,0.2771,0.3747
19670221,0.0197,-0.0058,0.4211,-0.1273,0.5696,-0.1402
19670223,0.0197,0.1206,0.2729,0.1216,0.6044,-0.1714
19670224,0.0197,0.0813,0.0706,-0.2441,-0.0324,-0.0089
19670227,0.0197,-1.1023,-0.1798,0.1585,0.0083,0.1190
19670228,0.0197,0.3839,0.0027,-0.3221,1.0474,0.4973
19670301,0.0168,0.9833,0.6124,-0.3982,0.2973,-0.0348
19670302,0.0168,0.5220,-0.2694,-0.1969,0.3588,-0.2309
19670303,0.0168,0.1598,0.0191,-0.2294,0.0093,0.0378
19670306,0.0168,-0.1270,0.3414,-0.0391,0.4049,-0.0640
19670307,0.0168,0.1607,0.2924,-0.5391,-0.0252,-0.2522
19670308,0.0168,0.1668,0.2030,-0.2955,0.6831,-0.1293
19670309,0.0168,0.2865,0.3123,-0.1515,0.3645,-0.0130
19670310,0.0168,0.3659,0.0648,-0.3465,-0.5073,-0.0251
19670313,0.0168,-0.4831,0.0082,0.0001,-0.1561,0.1795
19670314,0.0168,-0.1069,-0.0688,-0.2449,-0.0868,-0.6802
19670315,0.0168,0.8892,-0.4036,-0.8021,-0.3141,-0.3750
19670316,0.0168,0.8992,-0.3391,0.1005,0.3036,-0.1179
19670317,0.0168,0.1320,0.0377,0.4421,0.1212,0.1382
19670320,0.0168,-0.0121,0.1439,0.1275,0.3278,0.1090
19670321,0.0168,-0.2839,0.3145,-0.2771,-0.3752,0.0391
19670322,0.0168,0.2835,0.1956,0.3115,0.3853,-0.2324
19670323,0.0168,0.6821,-0.1531,0.1268,-0.0794,0.3451
19670327,0.0168,-0.0569,0.0156,0.1221,0.3526,0.2273
19670328,0.0168,0.0881,0.0800,-0.2917,-0.0243,0.2306
19670329,0.0168,-0.1349,0.3832,0.4719,-0.0507,0.0798
19670330,0.0168,0.0410,0.1361,0.2156,0.1850,-0.1178
19670331,0.0168,-0.5048,-0.0498,0.2792,-0.4442,-0.1744
19670403,0.0167,-1.1309,-0.1173,0.5535,-1.0097,-0.4850
19670404,0.0167,0.0119,0.1793,-0.2555,-0.2001,-0.3388
19670405,0.0167,0.6296,-0.0200,-0.0897,-0.0565,0.1497
19670406,0.0167,0.2006,0.2010,-0.3198,0.2877,-0.1704
19670407,0.0167,-0.6176,-0.1032,0.4315,-0.3140,0.2263
19670410,0.0167,-1.2369,-0.5311,0.1436,-0.5588,0.1377
19670411,0.0167,0.7105,0.0963,-0.4101,0.2771,-0.0258
19670412,0.0167,-0.1055,0.1128,0.1702,0.0353,0.2931
19670413,0.0167,0.6491,-0.1275,-0.6568,0.4438,-0.0723
19670414,0.0167,1.0043,-0.2598,-0.5583,0.3642,-0.0158
19670417,0.0167,0.6385,-0.4705,-0.1497,-0.1439,-0.2457
19670418,0.0167,0.8527,-0.0509,-0.1059,0.5188,0.1549
19670419,0.0167,0.1151,0.1245,-0.0762,0.2850,0.2746
19670420,0.0167,0.1915,0.1957,-0.3528,-0.2805,0.0290
19670421,0.0167,0.2566,0.3828,-0.1925,0.0998,-0.4785
19670424,0.0167,0.2701,-0.3274,-0.2134,0.3815,0.1855
19670425,0.0167,0.5534,-0.3702,-0.0813,0.0796,-0.0825
19670426,0.0167,-0.1147,0.1615,-0.0191,0.2525,-0.1325
19670427,0.0167,0.8102,0.1076,-0.6464,0.5438,-0.6309
19670428,0.0167,0.1495,0.2370,-0.0011,-0.0454,-0.3765
19670501,0.0142,-0.0733,0.3388,-0.2071,0.2291,0.1648
19670502,0.0142,-0.0193,0.4762,-0.4553,0.0169,-0.3583
19670503,0.0142,0.2858,0.4986,-0.0649,-0.0956,-0.3844
19670504,0.0142,0.3332,-0.1415,0.1063,0.1696,-0.2293
19670505,0.0142,0.1222,0.2582,0.7348,-0.1766,0.2702
19670508,0.0142,0.2075,-0.1388,0.3649,-0.1198,0.1183
19670509,0.0142,-1.0403,-0.3418,0.3998,-0.2310,0.5849
19670510,0.0142,-0.1319,0.5760,0.1775,-0.0469,-0.2393
19670511,0.0142,0.4864,0.3713,-0.5173,0.0260,-0.6619
19670512,0.0142,-0.1978,0.4188,-0.3975,0.1297,-0.1001
19670515,0.0142,-0.7359,0.2130,0.6031,0.2789,-0.0520
19670516,0.0142,0.4853,0.3929,-0.0128,-0.0394,-0.4996
19670517,0.0142,-0.2640,0.4832,-0.1273,-0.5107,-0.0929
19670518,0.0142,-0.1902,0.4168,0.3920,-0.1303,-0.0279
19670519,0.0142,-0.4181,0.0487,0.0934,0.0714,-0.0573
19670522,0.0142,-0.3367,0.3377,-0.1012,-0.0284,0.1481
19670523,0.0142,-0.4250,0.1100,-0.0299,0.2055,0.1409
19670524,0.0142,-1.1966,-0.5255,0.3582,0.1613,0.7811
19670525,0.0142,0.9941,-0.0739,0.1170,0.5574,0.0129
19670526,0.0142,-0.1097,-0.1177,-0.0434,-0.1786,0.0084
19670529,0.0142,-0.4753,0.2138,0.1267,0.1077,0.2069
19670531,0.0142,-1.6627,-0.9341,0.7405,0.2287,0.3405
19670601,0.0121,1.1830,0.1191,-0.3760,-0.0908,-0.1712
19670602,0.0121,-0.4029,0.2960,0.2288,0.0914,-0.1346
19670605,0.0121,-1.6514,-1.2657,0.5558,0.1640,0.1055
19670606,0.0121,2.0210,0.6545,-0.4606,0.0934,0.0845
19670607,0.0121,0.8542,0.4494,-0.4768,-0.1334,-0.2680
19670608,0.0121,0.5734,0.3072,-0.5463,0.1239,-0.4030
19670609,0.0121,0.2629,0.4166,0.0309,0.0259,0.3065
19670612,0.0121,0.6319,0.4839,-0.1883,0.7661,-0.0820
19670613,0.0121,0.6023,0.1217,-0.2400,0.2372,-0.3023
19670614,0.0121,-0.1716,0.6642,-0.5922,-0.0492,0.1921
19670615,0.0121,0.1711,0.5814,-0.2733,-0.1397,0.3661
19670616,0.0121,0.0338,0.5161,0.0426,-0.1528,0.1579
19670619,0.0121,0.0336,0.4502,-0.3061,0.3776,-0.2842
19670620,0.0121,-0.0292,0.3010,-0.1125,0.0483,0.0024
19670621,0.0121,-0.2521,0.3266,0.3727,0.1173,0.2203
19670622,0.0121,-0.2032,0.3578,-0.4065,-0.1492,0.0552
19670623,0.0121,0.0705,0.4122,0.3487,-0.1210,-0.3238
19670626,0.0121,-0.3994,-0.1855,0.1922,0.2100,0.1298
19670627,0.0121,-0.3399,0.4526,0.0055,-0.1890,-0.2464
19670628,0.0121,0.0720,0.4146,-0.2443,-0.3458,0.0068
19670629,0.0121,-0.4740,-0.0787,0.2409,0.0052,0.3187
19670630,0.0121,-0.1406,0.2784,0.2006,-0.5524,-0.1234
19670703,0.0157,0.3529,0.2624,-0.0601,0.1706,-0.0335
19670705,0.0157,0.5298,0.1902,-0.1093,0.5886,-0.3463
19670706,0.0157,-0.0634,0.0656,0.1266,0.1882,0.4456
19670707,0.0157,0.4686,0.1358,-0.4286,0.0733,0.1411
19670710,0.0157,0.4547,0.2817,-0.2050,0.3411,-0.1837
19670711,0.0157,0.4287,-0.0277,0.4324,0.0204,-0.2035
19670712,0.0157,-0.0324,-0.0232,0.0979,-0.0983,0.0736
19670713,0.0157,0.0599,0.3047,0.0916,0.0089,-0.1102
19670714,0.0157,0.3684,0.7389,-0.1550,-0.5154,-0.3801
19670717,0.0157,0.0733,0.4164,0.1999,-0.2563,-0.1909
19670718,0.0157,0.7054,-0.1372,0.6607,0.1286,-0.1891
19670719,0.0157,0.0863,0.0535,0.7030,0.1322,0.6787
19670720,0.0157,0.1388,-0.0961,0.6752,-0.4052,-0.2525
19670721,0.0157,0.0428,-0.2601,0.8472,0.0454,0.2290
19670724,0.0157,-0.3700,-0.2922,0.2167,-0.1379,0.2391
19670725,0.0157,0.0199,0.3785,-0.5193,-0.6016,0.0757
19670726,0.0157,0.4196,0.2044,-0.2457,-0.0597,-0.1189
19670727,0.0157,0.3429,0.1014,0.0607,0.3185,-0.1044
19670728,0.0157,0.1706,0.5686,-0.2658,-0.4386,0.0806
19670731,0.0157,0.2846,0.1042,0.0376,-0.0702,-0.0296
19670801,0.0141,0.6211,-0.2926,0.0852,-0.4534,-0.1798
19670802,0.0141,0.3370,-0.5696,0.1663,0.1274,-0.4936
19670803,0.0141,-0.1771,-0.0870,0.0374,0.1830,-0.0023
19670804,0.0141,0.2577,0.3864,-0.3701,-0.3179,-0.1606
19670807,0.0141,-0.1600,0.1900,0.0285,0.0141,0.0374
19670808,0.0141,0.0892,-0.1000,0.3138,-0.1319,0.0956
19670809,0.0141,0.1066,-0.1240,0.2583,-0.1306,-0.1716
19670810,0.0141,-0.2659,0.0168,0.5849,0.0522,0.2242
19670811,0.0141,-0.4753,-0.1087,0.2878,0.1398,0.1805
19670814,0.0141,-0.4958,-0.2283,0.4325,0.3689,-0.0374
19670815,0.0141,0.1045,0.0205,0.0360,-0.2163,0.1989
19670816,0.0141,-0.2470,-0.0282,-0.2379,-0.2483,0.3587
19670817,0.0141,0.1247,0.1886,0.3764,0.0042,-0.0783
19670818,0.0141,0.1659,0.3267,0.1916,-0.0294,0.1083
19670821,0.0141,-0.4975,0.1469,-0.0076,-0.1167,-0.1482
19670822,0.0141,-0.5429,-0.0146,0.0903,0.0344,0.0481
19670823,0.0141,-0.1036,-0.1206,-0.4586,-0.1052,0.2149
19670824,0.0141,-0.5232,0.2990,0.4304,-0.0209,-0.1069
19670825,0.0141,-0.4229,-0.1835,-0.0666,0.1779,-0.0360
19670828,0.0141,0.0296,0.2481,0.1531,0.0558,0.2556
19670829,0.0141,0.2505,-0.0903,0.0929,0.0249,-0.1201
19670830,0.0141,0.2834,0.4020,-0.3973,0.1322,-0.0008
19670831,0.0141,0.6444,0.0831,-0.0812,-0.1371,-0.1335
19670901,0.0159,0.1492,0.4556,-0.3571,-0.2199,0.2805
19670905,0.0159,0.5330,-0.1340,0.2109,0.1835,-0.1615
19670906,0.0159,0.1711,0.1119,0.0644,0.0083,0.0285
19670907,0.0159,-0.0586,-0.0349,-0.0636,-0.1066,-0.0301
19670908,0.0159,0.0121,0.4226,0.1326,0.0612,-0.0936
19670911,0.0159,0.1532,0.1693,-0.0548,0.2828,-0.1633
19670912,0.0159,0.4941,-0.0593,-0.3494,-0.2760,-0.4391
19670913,0.0159,0.9705,-0.1575,0.1749,-0.2307,-0.1440
19670914,0.0159,0.1411,0.1118,0.6030,0.1917,-0.1183
19670915,0.0159,0.0595,0.0403,0.5986,0.1494,-0.2700
19670918,0.0159,0.2573,0.1556,0.3003,0.1857,-0.2229
19670919,0.0159,-0.4444,-0.2836,-0.0822,0.2202,0.1832
19670920,0.0159,0.0514,0.6772,0.0965,-0.5069,0.1402
19670921,0.0159,0.5619,-0.2994,-0.7617,0.3057,0.1344
19670922,0.0159,0.2825,0.3155,0.0784,0.0042,0.1477
19670925,0.0159,0.4805,-0.5628,-0.0119,0.4829,-0.1995
19670926,0.0159,-0.8690,0.0777,-0.1578,0.0547,0.4930
19670927,0.0159,0.0560,0.1948,-0.3514,-0.0925,-0.4111
19670928,0.0159,0.0748,0.1293,-0.2383,0.3910,-0.0732
19670929,0.0159,-0.0051,0.4120,-0.2044,-0.3554,0.0145
19671002,0.0166,-0.3940,0.0949,-0.0416,-0.0205,0.0701
19671003,0.0166,0.3205,0.1640,0.0013,0.2652,-0.2238
19671004,0.0166,-0.1285,0.3568,-0.3616,0.0458,-0.1651
19671005,0.0166,0.2058,0.0955,-0.3551,0.2154,-0.1335
19671006,0.0166,0.5711,0.0505,-0.4016,0.1616,0.1569
19671009,0.0166,0.2041,0.2978,-0.1970,-0.3744,0.2368
19671010,0.0166,-0.7263,0.0668,-0.0086,-0.3515,0.4782
19671011,0.0166,-0.4514,-0.0402,-0.0294,0.2997,-0.0179
19671012,0.0166,-0.6105,0.2667,0.0604,0.3363,-0.1097
19671013,0.0166,0.2165,0.3716,0.2517,0.3878,-0.0892
19671016,0.0166,-0.8087,-0.2481,0.1514,0.1370,-0.0247
19671017,0.0166,-0.1847,0.2605,-0.0329,0.2555,0.0598
19671018,0.0166,0.2385,-0.1874,-0.4544,-0.1407,-0.4456
19671019,0.0166,0.0915,-0.3966,-0.2662,0.7615,0.0562
19671020,0.0166,-0.1132,-0.3677,0.1651,0.3765,-0.1898
19671023,0.0166,-0.4783,-0.0261,-0.1017,0.1573,-0.1602
19671024,0.0166,-0.5681,-0.1481,-0.1230,0.1405,0.3106
19671025,0.0166,0.1445,-0.1071,-0.1703,0.3773,-0.1021
19671026,0.0166,0.4334,0.1946,-0.6251,0.2789,-0.3551
19671027,0.0166,0.0159,-0.0035,-0.2312,-0.0800,0.3525
19671030,0.0166,-0.1617,0.1744,0.1390,0.2620,-0.0239
19671031,0.0166,-0.8904,-0.0393,0.1334,-0.0761,0.4016
19671101,0.0171,-1.2186,0.2383,-0.3870,-0.6067,-0.1697
19671102,0.0171,-0.4912,-0.3269,0.2631,-0.3045,-0.0364
19671103,0.0171,-0.4830,0.5209,-0.2684,0.2333,-0.0606
19671106,0.0171,-0.3123,-0.0918,-0.4110,0.2032,-0.0668
19671108,0.0171,-0.3809,0.1042,0.2156,0.2993,0.0368
19671109,0.0171,0.4153,-0.4680,-0.0397,0.1709,0.1634
19671110,0.0171,0.5846,-0.2083,0.4121,0.2913,0.4587
19671113,0.0171,-0.3080,-0.5749,-0.2466,-0.8169,-0.1026
19671114,0.0171,-0.7265,-0.6843,0.2417,-0.5654,-0.0212
19671115,0.0171,0.4156,-0.5208,-0.1410,0.4629,-0.1159
19671116,0.0171,0.9470,0.3103,-0.7358,0.6842,-0.0737
19671117,0.0171,0.3484,0.2914,-0.7045,0.0842,-0.0535
19671120,0.0171,-1.3936,-0.6939,0.0289,-0.3711,-0.0723
19671121,0.0171,1.7087,0.8254,-0.9687,0.4585,-0.0487
19671122,0.0171,0.6565,0.3617,0.1183,0.3119,0.0159
19671124,0.0171,0.2142,-0.1745,-0.2323,-0.1174,-0.0451
19671127,0.0171,0.3497,0.2332,-0.2965,0.3788,0.2768
19671128,0.0171,0.5064,0.1019,0.1021,-0.2706,-0.1711
19671129,0.0171,0.0568,0.6042,0.1511,0.0795,-0.0804
19671130,0.0171,-0.4488,0.1677,0.0855,0.1538,0.2021
19671201,0.0178,0.5383,0.4225,0.0780,0.3568,0.1263
19671204,0.0178,0.6327,0.6744,-0.1575,0.8502,0.3885
19671205,0.0178,0.1051,-0.4268,0.2937,0.1603,0.1442
19671206,0.0178,0.3563,-0.1816,-0.4172,0.3022,0.1417
19671207,0.0178,-0.0938,0.1980,-0.1225,-0.1567,0.2297
19671208,0.0178,-0.0903,0.3072,-0.1513,0.0817,-0.0939
19671211,0.0178,-0.1709,0.7621,-0.3842,-0.1031,0.1305
19671212,0.0178,-0.0126,0.4086,-0.6060,-0.0135,-0.3861
19671213,0.0178,0.4271,0.1765,0.1178,0.4271,-0.0288
19671214,0.0178,0.1627,0.4962,-0.1101,-0.3425,-0.0317
19671215,0.0178,-0.5740,-0.1572,0.6078,-0.4946,0.2292
19671218,0.0178,-0.2881,0.3400,0.5035,0.3071,0.1166
19671219,0.0178,-0.1031,0.1510,-0.2650,-0.0644,-0.1774
19671220,0.0178,0.5687,0.0625,0.3896,0.2160,-0.0184
19671221,0.0178,0.2429,0.2760,0.2587,0.0018,0.4735
19671222,0.0178,-0.1227,0.3985,0.6675,-0.0420,0.3031
19671226,0.0178,0.1483,0.3790,0.3365,-0.0423,0.1939
19671227,0.0178,0.6715,0.0901,-0.1904,0.0968,-0.0515
19671228,0.0178,-0.0478,-0.1018,-0.4774,-0.9357,-0.3657
19671229,0.0178,0.6385,0.0700,-0.2664,0.0667,0.3064
19680102,0.0178,-0.2548,0.7043,1.2636,-0.7965,0.0809
19680103,0.0178,-0.5585,0.1564,0.8447,-0.4854,0.3162
19680104,0.0178,-0.2968,0.2065,0.3475,-0.7392,-0.5283
19680105,0.0178,0.6362,0.7120,0.7737,-0.5044,0.2356
19680108,0.0178,0.6960,0.2047,0.3178,-0.3377,0.0580
19680109,0.0178,-0.1518,0.0026,-0.0534,0.0350,-0.1501
19680110,0.0178,0.1458,0.4433,-0.4115,0.3329,-0.1210
19680111,0.0178,0.2560,0.8580,-0.6348,-0.3589,-0.6112
19680112,0.0178,0.2048,0.8837,0.3053,0.2790,-0.0807
19680115,0.0178,-0.1549,0.5033,-0.2417,0.1342,-0.2362
19680116,0.0178,-0.5602,0.4256,0.0529,-0.1911,0.0612
19680117,0.0178,-0.0959,0.5975,0.4191,0.2266,0.3568
19680118,0.0178,-0.0076,0.6107,0.0822,0.1041,0.4757
19680119,0.0178,-0.3463,-0.0783,0.2145,0.4070,0.3483
19680122,0.0178,-1.3781,-0.2412,0.0051,-0.1999,0.4632
19680123,0.0178,-0.5055,-0.1678,-0.0527,0.1788,0.1427
19680124,0.0178,-0.4121,0.3941,0.3922,0.0389,-0.0520
19680125,0.0178,0.0446,-0.1640,0.1240,-0.1438,-0.0860
19680126,0.0178,0.2104,0.5402,0.2575,0.0173,0.3397
19680129,0.0178,-0.1658,-0.3274,0.3926,-0.0338,0.1922
19680130,0.0178,-0.5563,-0.4735,-0.0791,-0.8269,-0.1078
19680131,0.0178,-0.8248,-0.3986,0.4152,-0.2341,-0.0546
19680201,0.0202,0.2901,-0.2622,0.2025,-0.1112,-0.1708
19680202,0.0202,-0.3349,0.1175,0.0919,-0.1850,0.4833
19680205,0.0202,-0.4653,-0.4679,0.1932,-0.2655,0.4820
19680206,0.0202,0.0718,-0.2073,0.0684,0.0047,-0.0560
19680207,0.0202,0.1467,0.1166,0.2016,-0.1241,0.5831
19680208,0.0202,-1.4147,-0.8783,0.4761,-0.3048,0.3612
19680209,0.0202,-1.1922,-0.6118,0.4672,-0.3626,-0.0823
19680213,0.0202,-1.0485,-0.5799,0.0466,-0.1302,0.3430
19680214,0.0202,1.2524,0.1142,-0.1110,0.5864,-0.1906
19680215,0.0202,0.2379,0.5406,-0.0111,0.0673,0.3436
19680216,0.0202,-0.3963,0.0736,0.5750,0.1050,0.1886
19680219,0.0202,0.3510,0.0565,0.1295,0.5215,0.2619
19680220,0.0202,0.6229,0.4104,-0.0200,0.6377,0.1317
19680221,0.0202,0.4163,0.1209,-0.4805,-0.0450,-0.0147
19680223,0.0202,-0.4830,-0.1908,0.1073,-0.1603,0.4360
19680226,0.0202,-0.7896,-0.2918,0.1445,-0.2681,0.1611
19680227,0.0202,0.4021,-0.0000,-0.3569,0.1870,-0.3595
19680228,0.0202,-0.5371,0.1939,0.4756,-0.1318,0.4177
19680229,0.0202,-0.8808,-0.2614,0.4618,-0.4212,-0.1997
19680301,0.0189,-0.4464,-0.5949,0.4018,-0.2072,0.0035
19680304,0.0189,-1.5539,-0.7908,0.8261,-0.5245,0.1955
19680305,0.0189,-0.4223,-1.0157,-0.2949,-0.1349,0.2251
19680306,0.0189,1.7963,0.8125,-0.2628,0.3075,0.1897
19680307,0.0189,-0.1610,0.4288,-0.0948,0.1207,0.0379
19680308,0.0189,-0.1009,-0.2411,0.0609,0.0454,-0.0249
19680311,0.0189,1.3509,0.3236,-0.6327,0.4180,-0.1568
19680312,0.0189,0.1824,0.2217,-0.3501,0.4053,-0.0232
19680313,0.0189,-0.1835,0.4297,0.1673,0.3079,0.2011
19680314,0.0189,-2.0892,-0.7743,0.6796,-0.3543,0.1062
19680315,0.0189,0.7664,-0.4561,-0.3558,0.5008,-0.2971
19680318,0.0189,0.6458,0.3100,-0.3834,0.5227,0.1651
19680319,0.0189,-0.6393,0.2437,0.0969,-0.1061,-0.2127
19680320,0.0189,-0.0763,-0.2761,-0.1684,0.0519,0.3415
19680321,0.0189,-0.8146,-0.2829,-0.0121,-0.4261,-0.0669
19680322,0.0189,0.0062,-0.3260,0.2894,0.1617,0.2506
19680325,0.0189,-0.1259,-0.1962,-0.1500,0.0589,0.1541
19680326,0.0189,0.6625,0.0392,-0.3653,0.2315,-0.1066
19680327,0.0189,0.8529,0.2378,-0.3356,0.5906,-0.1966
19680328,0.0189,-0.0807,0.0962,0.2123,-0.0708,0.2370
19680329,0.0189,0.7026,0.0415,-0.0915,-0.0531,0.2828
19680401,0.0213,2.3799,-0.4963,-0.3732,0.5522,-0.2410
19680402,0.0213,0.2034,-0.0422,0.0104,0.1797,-0.0746
19680403,0.0213,0.8726,-0.1703,-0.1460,-0.0372,0.0181
19680404,0.0213,0.4609,-0.1098,-0.0939,0.3561,-0.0014
19680405,0.0213,-0.5372,0.4650,-0.2246,-0.0883,-0.2259
19680408,0.0213,1.7345,-0.0403,-0.4503,-0.1235,-0.4382
19680410,0.0213,0.7293,0.4306,-0.2345,-0.0057,0.2432
19680411,0.0213,0.9476,0.4118,-0.2870,-0.2483,-0.1044
19680415,0.0213,0.2008,0.5528,0.2343,0.4699,-0.3288
19680416,0.0213,0.1483,0.5817,-0.2131,-0.1127,-0.6771
19680417,0.0213,0.3035,0.6113,-0.2045,-0.4727,-0.1851
19680418,0.0213,0.3049,0.5079,-0.0381,0.1043,0.0047
19680419,0.0213,-1.2309,0.1385,-0.0686,0.5405,0.3559
19680422,0.0213,-0.4777,0.3118,-0.0940,0.2224,-0.0575
19680423,0.0213,1.2791,0.1309,0.0027,0.7843,-0.0349
19680424,0.0213,0.2749,0.5577,-0.0512,0.4316,-0.2575
19680425,0.0213,0.3401,0.2858,0.2884,0.4668,0.4551
19680426,0.0213,0.3334,0.3865,0.2118,0.3261,-0.0285
19680429,0.0213,0.3017,0.1971,-0.2594,0.0809,0.0200
19680430,0.0213,0.1430,0.2014,-0.5013,-0.2780,-0.1398
19680501,0.0212,0.3226,0.1026,-0.2398,-0.0979,-0.0779
19680502,0.0212,0.6188,-0.1125,-0.1159,0.2142,-0.0074
19680503,0.0212,0.0750,-0.1559,0.3580,0.3552,-0.0362
19680506,0.0212,-0.1792,0.3912,0.0561,-0.0486,0.0178
19680507,0.0212,0.5698,0.2805,0.0965,-0.0659,-0.0771
19680508,0.0212,0.0600,0.2349,-0.3356,0.0751,0.0432
19680509,0.0212,-0.5189,0.0608,0.1773,0.2189,-0.0935
19680510,0.0212,0.3360,0.8998,-0.3942,-0.1800,-0.1592
19680513,0.0212,-0.1684,0.6613,0.0825,0.2481,0.2570
19680514,0.0212,-0.0689,0.0510,-0.0320,-0.2292,0.2386
19680515,0.0212,-0.0594,0.2770,-0.0205,0.3285,0.0641
19680516,0.0212,-0.4433,0.2842,0.0174,0.0600,0.5256
19680517,0.0212,-0.5911,0.4631,0.2226,-0.1685,-0.1729
19680520,0.0212,-0.4682,0.1720,0.2126,0.1067,-0.0629
19680521,0.0212,0.5813,0.3574,-0.4318,0.3587,-0.0977
19680522,0.0212,0.3182,0.8132,-0.6402,-0.1370,-0.1881
19680523,0.0212,-0.1260,0.3383,-0.5776,-0.0040,-0.2123
19680524,0.0212,0.3077,0.3202,-0.0062,0.1331,-0.0386
19680527,0.0212,-0.0402,0.5620,-0.1712,-0.0952,-0.3835
19680528,0.0212,0.6202,0.1061,0.0201,0.6193,-0.1776
19680529,0.0212,0.3175,0.1799,-0.2600,0.3460,0.1667
19680531,0.0212,0.7607,0.1536,-0.2640,-0.1891,0.2109
19680603,0.0260,1.2535,-0.2818,0.0620,0.2312,0.3513
19680604,0.0260,0.5246,0.3668,-0.2811,-0.3073,-0.5044
19680605,0.0260,-0.4706,-0.0880,0.3373,-0.0286,0.3087
19680606,0.0260,0.8908,0.4239,-0.5419,-0.3618,-0.7368
19680607,0.0260,0.6678,0.1462,-0.1516,-0.1115,-0.4841
19680610,0.0260,0.1061,-0.0237,-0.0352,0.3422,-0.1155
19680611,0.0260,0.2301,0.1263,0.0703,-0.0599,0.1077
19680613,0.0260,-0.4345,-0.3169,0.4767,0.6179,0.2007
19680614,0.0260,-0.1595,-0.1244,0.5504,-0.1299,0.1688
19680617,0.0260,-1.1194,-0.3779,0.6959,-0.2858,0.2796
19680618,0.0260,-0.1183,0.0585,0.0862,-0.2179,-0.0710
19680620,0.0260,0.5097,-0.2167,0.1702,0.1242,0.3232
19680621,0.0260,0.1427,0.0848,0.1199,-0.2484,-0.0430
19680624,0.0260,-0.3878,-0.0921,0.5546,0.0337,-0.0284
19680625,0.0260,-0.4341,-0.4084,-0.2558,0.0949,0.4651
19680627,0.0260,-0.1689,-0.0946,0.1700,0.2766,0.0636
19680628,0.0260,-0.3432,0.3593,0.4417,-0.1849,-0.2519
19680701,0.0281,-0.2312,0.2051,0.1331,-0.1326,-0.1352
19680702,0.0281,0.4141,0.0631,-0.3566,-0.3452,-0.2301
19680703,0.0281,1.2465,0.4549,-0.2194,0.0075,-0.0363
19680708,0.0281,1.0611,0.2053,-0.4057,-0.2248,0.1139
19680709,0.0281,0.2714,-0.1030,0.1929,0.0972,-0.0300
19680711,0.0281,0.0987,-0.0215,0.9694,0.2120,0.4748
19680712,0.0281,-0.0559,0.2116,-0.1931,-0.4656,0.1066
19680715,0.0281,-0.1646,0.1969,0.4730,0.2054,0.5434
19680716,0.0281,-0.5357,-0.0151,0.3855,-0.2549,0.5653
19680718,0.0281,-0.3455,0.1160,0.5604,0.2153,0.9167
19680719,0.0281,-0.9436,-0.2256,0.4833,-0.4800,0.5557
19680722,0.0281,-1.4224,-0.7439,0.6255,-0.2633,0.4523
19680723,0.0281,-0.2476,-0.2352,-0.3413,-0.1292,-0.4297
